code,description
P0000,Aucune panne détectée
P0001,Commande de régulateur de volume de carburant - circuit ouvert
P0002,Commande de régulateur de volume de carburant - plage de mesure/performance du circuit
P0003,Commande de régulateur de volume de carburant - circuit trop bas
P0004,Commande de régulateur de volume de carburant - circuit trop haut
P0005,Électrovanne de coupure carburant - circuit ouvert
P0006,Électrovanne de coupure carburant - circuit trop bas
P0007,Électrovanne de coupure carburant - circuit trop haut
P0008,"Calage moteur, ligne 1 - performance du moteur"
P0009,"Calage moteur, ligne 2 - performance du moteur"
P0010,"Capteur d'arbre à cames d'admission, ligne 1 - panne du circuit"
P0011,"Position d'arbre à cames, ligne 1 - calage excessivement avancé/performance du système"
P0012,"Position d'arbre à cames, ligne 1 - calage excessivement retardé"
P0013,"Capteur d'arbre à cames d'échappement, ligne 1 - panne du circuit"
P0014,"Capteur d'arbre à cames d'échappement, ligne 1 - calage excessivement avancé/performance du système"
P0015,"Capteur d'arbre à cames d'échappement, ligne 1 - calage excessivement retardé"
P0016,"Position du vilebrequin/position d'arbre à cames, ligne 1 capteur A - corrélation"
P0017,"Position du vilebrequin/position d'arbre à cames, ligne 1 capteur B - corrélation"
P0018,"Position du vilebrequin/position d'arbre à cames, ligne 2 capteur A - corrélation"
P0019,"Position du vilebrequin/position d'arbre à cames, ligne 2 capteur B - corrélation"
P0020,"Capteur d'arbre à cames d'admission, ligne 2 - panne du circuit"
P0021,"Position d'arbre à cames d'admission, ligne 2 - calage excessivement avancé"
P0022,"Position d'arbre à cames d'admission, ligne 2 - calage excessivement retardé"
P0023,"Capteur d'arbre à cames d'échappement, ligne 2 - panne du circuit"
P0024,"Position d'arbre à cames d'échappement, ligne 2 - calage excessivement avancé"
P0025,"Position d'arbre à cames d'échappement, ligne 2 - calage excessivement retardé"
P0026,"Système électrovanne de commande de soupape d'admission, ligne 1 - plage de mesure/performance"
P0027,"Système électrovanne de commande de soupape d'échappement, ligne 1 - plage de mesure/performance"
P0028,"Système électrovanne de commande de soupape d'admission, ligne 2 - plage de mesure/performance"
P0029,"Système électrovanne de commande de soupape d'échappement, ligne 2 - plage de mesure/performance"
P0030,"Sonde Lambda 1, ligne 1, commande de chauffage - panne du circuit"
P0031,"Sonde Lambda 1, ligne 1, commande de chauffage - circuit trop bas"
P0032,"Sonde Lambda 1, ligne 1, commande de chauffage - circuit trop haut"
P0033,Électrovanne de décharge du turbocompresseur - panne du circuit
P0034,Électrovanne de décharge du turbocompresseur - circuit trop bas
P0035,Électrovanne de décharge du turbocompresseur - circuit trop haut
P0036,"Sonde Lambda 2, ligne 1 , commande de chauffage - panne du circuit"
P0037,"Sonde Lambda 2, ligne 1 , commande de chauffage - circuit trop bas"
P0038,"Sonde Lambda 2, ligne 1 , commande de chauffage - circuit trop haut"
P0039,"Soupape de dérivation du compresseur/turbocompresseur, circuit de commande - plage de mesure/performance"
P0040,"Signaux sondes Lambda inversées, ligne 1 capteur 1/ligne 2 capteur 1"
